SITE_FILTER,TARGET_PHENO,BIN_LENGTH,MIN_P
all_sites,intercept,10000,1.2316341932119694e-5
all_sites,intercept,15000,4.1703949981514186e-5
all_sites,intercept,20000,9.16822165275235e-6
all_sites,intercept,5000,1.975211160097152e-5
all_sites,mean,10000,3.737183056567948e-6
all_sites,mean,15000,1.6047758166337387e-5
all_sites,mean,20000,1.643873749586277e-5
all_sites,mean,5000,2.360238840218604e-5
all_sites,unsegmented_psm_area,10000,2.9520905834728443e-5
all_sites,unsegmented_psm_area,15000,5.191141536363379e-5
all_sites,unsegmented_psm_area,20000,2.1306470825236118e-5
all_sites,unsegmented_psm_area,5000,1.3849787846796442e-5
no_repeat_reads,intercept,10000,1.1447687557060718e-5
no_repeat_reads,intercept,15000,1.6969077034866997e-5
no_repeat_reads,intercept,20000,6.38556752003757e-6
no_repeat_reads,intercept,5000,8.406831310473905e-6
no_repeat_reads,mean,10000,6.332484698911007e-6
no_repeat_reads,mean,15000,3.786775553221931e-5
no_repeat_reads,mean,20000,2.1957418138645127e-6
no_repeat_reads,mean,5000,2.5994523832977444e-6
no_repeat_reads,unsegmented_psm_area,10000,1.786517292888238e-5
no_repeat_reads,unsegmented_psm_area,15000,4.4756247928395826e-6
no_repeat_reads,unsegmented_psm_area,20000,6.99253904673602e-6
no_repeat_reads,unsegmented_psm_area,5000,1.3098874952304828e-5
no_repeat_reads_or_pers_hets,intercept,10000,9.38631837692149e-6
no_repeat_reads_or_pers_hets,intercept,15000,2.6290249099476744e-5
no_repeat_reads_or_pers_hets,intercept,20000,2.9804159477801575e-5
no_repeat_reads_or_pers_hets,intercept,5000,1.0438841825926463e-5
no_repeat_reads_or_pers_hets,mean,10000,2.131701227196926e-5
no_repeat_reads_or_pers_hets,mean,15000,2.3296693346543074e-5
no_repeat_reads_or_pers_hets,mean,20000,3.869469226239125e-5
no_repeat_reads_or_pers_hets,mean,5000,6.13755788149523e-6
no_repeat_reads_or_pers_hets,unsegmented_psm_area,10000,1.1323587771900744e-5
no_repeat_reads_or_pers_hets,unsegmented_psm_area,15000,4.4756247928395826e-6
no_repeat_reads_or_pers_hets,unsegmented_psm_area,20000,7.05837216461511e-6
no_repeat_reads_or_pers_hets,unsegmented_psm_area,5000,1.8317582992434304e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,10000,4.491729414938358e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,15000,6.316531360856923e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,20000,2.0746817932001237e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,5000,4.147905756563952e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,10000,1.7786956440733005e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,15000,4.454469632699961e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,20000,1.7499555349366923e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,5000,3.967595942977529e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,unsegmented_psm_area,10000,7.274973551282464e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,unsegmented_psm_area,15000,2.8427026838184457e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,unsegmented_psm_area,20000,1.5790826322966486e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,unsegmented_psm_area,5000,9.825443068488596e-6
no_repeat_sites,intercept,10000,1.4591911313756765e-5
no_repeat_sites,intercept,15000,3.5483114266669266e-5
no_repeat_sites,intercept,20000,1.8216074733884144e-5
no_repeat_sites,intercept,5000,1.4584761570569387e-5
no_repeat_sites,mean,10000,5.510086672650609e-6
no_repeat_sites,mean,15000,1.2111116419109047e-5
no_repeat_sites,mean,20000,4.003584327950455e-5
no_repeat_sites,mean,5000,6.956407231245989e-6
no_repeat_sites,unsegmented_psm_area,10000,1.0290547759781816e-4
no_repeat_sites,unsegmented_psm_area,15000,1.3749827674715323e-6
no_repeat_sites,unsegmented_psm_area,20000,1.0512878460685921e-5
no_repeat_sites,unsegmented_psm_area,5000,8.145928995053126e-6
